species_name,subplot,habitat,biomass_OLD,biomass_NEW,group_dataset_and_notes,Year,total_biomass
Vaccinium myrtillus,2.0,TL,1.1341,4.0948,5.0,21082024,5.2289
Juncus trifidus,2.0,TL,,0.0372,5.0,21082024,0.0372
Solidago virgaurea,2.0,TL,,0.0881,5.0,21082024,0.0881
Avenella flexuosa,2.0,TL,,0.9274,5.0,21082024,0.9274
Lysimachia europaea,2.0,TL,,0.0011,5.0,21082024,0.0011
Hieracium sp,2.0,TL,,0.0015,5.0,21082024,0.0015
Pedicularis oederi,3.0,TL,,0.0142,5.0,21082024,0.0142
Salix herbacea,3.0,TL,0.4191,0.2988,5.0,21082024,0.7179
Phyllodoce caerulea,3.0,TL,7.3799,2.3584,5.0,21082024,9.7383
Vaccinium myrtillus,3.0,TL,1.3204,1.736,5.0,21082024,3.0564
Empetrum nigrum,3.0,TL,1.183,0.5371,5.0,21082024,1.7201
Avenella flexuosa,3.0,TL,,0.5101,5.0,21082024,0.5101
Empetrum nigrum,4.0,TL,,0.195,5.0,21082024,0.195
Vaccinium myrtillus,4.0,TL,,,5.0,21082024,0.0
Kalmina procumbens,4.0,TL,0.008,0.08,5.0,21082024,0.088
Avenella flexuosa,4.0,TL,,,5.0,21082024,0.0
Salix herbacea,4.0,TL,0.466,0.398,5.0,21082024,0.8640000000000001
Phyllodoce caerulea,4.0,TL,5.163,1.08,5.0,21082024,6.243
Empetrum nigrum,5.0,TL,5.4556,1.03,5.0,21082024,6.4856
Hieracium sp,5.0,TL,,0.01,5.0,21082024,0.01
Phyllodoce caerulea,5.0,TL,9.52,3.76,5.0,21082024,13.28
Avenella flexuosa,5.0,TL,,0.41,5.0,21082024,0.41
Salix herbacea,5.0,TL,0.45,0.35,5.0,21082024,0.8
Lysimachia europaea,5.0,TL,0.01,,5.0,21082024,0.01
Vaccinium myrtillus,5.0,TL,0.69,2.09,5.0,21082024,2.78
Juniperus communis,5.0,TL,46.03,3.84,5.0,21082024,49.870000000000005
Phyllodoce caerulea,1.0,TL,5.314,0.73,5.0,21082024,6.0440000000000005
Kalmina procumbens,1.0,TL,,0.513,5.0,21082024,0.513
Empetrum nigrum,1.0,TL,,1.514,5.0,21082024,1.514
Empetrum nigrum,1.0,BF,4.08,0.6449,5.0,21082024,4.7249
Phyllodoce caerulea,1.0,BF,1.99,,5.0,21082024,1.99
Vaccinium myrtillus,1.0,BF,1.75,1.52,5.0,21082024,3.27
Avenella flexuosa,1.0,BF,,0.4,5.0,21082024,0.4
Vaccinium vitis-idaea,1.0,BF,0.0377,0.2311,5.0,21082024,0.2688
Vaccinium uliginosum,1.0,BF,0.2355,,5.0,21082024,0.2355
Empetrum nigrum,2.0,BF,7.462,2.4422,5.0,21082024,9.9042
Vaccinium vitis-idaea,2.0,BF,0.0972,0.0837,5.0,21082024,0.1809
Vaccinium myrtillus,2.0,BF,0.592,1.4019,5.0,21082024,1.9939
Avenella flexuosa,2.0,BF,,0.024,5.0,21082024,0.024
Lysimachia europaea,2.0,BF,,0.0057,5.0,21082024,0.0057
Vaccinium uliginosum,2.0,BF,0.4449,0.3425,5.0,21082024,0.7874000000000001
Betula nana,2.0,BF,0.661,0.069,5.0,21082024,0.73
Empetrum nigrum,3.0,BF,4.47,1.342,5.0,21082024,5.811999999999999
Vaccinium myrtillus,3.0,BF,0.84,1.6,5.0,21082024,2.44
Phyllodoce caerulea,3.0,BF,4.13,1.54,5.0,21082024,5.67
Vaccinium vitis-idaea,3.0,BF,,0.09,5.0,21082024,0.09
Betula nana,3.0,BF,2.05,0.32,5.0,21082024,2.3699999999999997
Avenella flexuosa,3.0,BF,,0.74,5.0,21082024,0.74
Avenella flexuosa,4.0,BF,,0.1239,5.0,21082024,0.1239
Pedicularis oederi,4.0,BF,,0.0921,5.0,21082024,0.0921
Vaccinium myrtillus,4.0,BF,1.619,1.1763,5.0,21082024,2.7953
Vaccinium vitis-idaea,4.0,BF,1.7611,0.5215,5.0,21082024,2.2826
Empetrum nigrum,4.0,BF,0.6415,,5.0,21082024,0.6415
Betula nana,4.0,BF,,0.0441,5.0,21082024,0.0441
Vaccinium myrtillus,5.0,BF,0.7,2.66,5.0,21082024,3.3600000000000003
Avenella flexuosa,5.0,BF,,1.38,5.0,21082024,1.38
Vaccinium uliginosum,5.0,BF,0.53,0.04,5.0,21082024,0.5700000000000001
Vaccinium vitis-idaea,5.0,BF,0.11,0.07,5.0,21082024,0.18
Empetrum nigrum,5.0,BF,5.77,0.76,5.0,21082024,6.529999999999999
Lysimachia europaea,5.0,BF,,0.01,5.0,21082024,0.01
Phyllodoce caerulea,5.0,BF,0.49,0.11,5.0,21082024,0.6
Arctous alpina,1.0,LH,1.253,0.564,3.0,21082024,1.8169999999999997
Kalmina procumbens,1.0,LH,25.363,12.799,3.0,21082024,38.162
Empetrum nigrum,2.0,LH,10.598,2.325,3.0,21082024,12.923000000000002
Vaccinium vitis-idaea,2.0,LH,0.248,0.181,3.0,21082024,0.429
Kalmina procumbens,2.0,LH,2.873,1.406,3.0,21082024,4.279
Salix herbacea,2.0,LH,0.337,0.077,3.0,21082024,0.41400000000000003
Vaccinium vitis-idaea,3.0,LH,0.064,0.053,3.0,21082024,0.11699999999999999
Betula nana,3.0,LH,35.85,1.007,3.0,21082024,36.857
Carex bigelowii,3.0,LH,0.38,0.07,3.0,21082024,0.45
Vaccinium uliginosum,4.0,LH,0.191,0.045,3.0,21082024,0.236
Betula nana,4.0,LH,2.906,0.211,3.0,21082024,3.117
Empetrum nigrum,4.0,LH,2.029,0.414,3.0,21082024,2.443
Juncus trifidus,4.0,LH,0.03,0.038,3.0,21082024,0.068
Vaccinium uliginosum,5.0,LH,0.116,0.062,3.0,21082024,0.178
Vaccinium vitis-idaea,5.0,LH,0.0,0.046,3.0,21082024,0.046
Vaccinium myrtillus,1.0,DSH,,0.02,3.0,21082024,0.02
Hieracium sp,1.0,DSH,,0.057,3.0,21082024,0.057
Salix herbacea,1.0,DSH,0.223,0.258,3.0,21082024,0.481
Vaccinium myrtillus,1.0,DSH,2.889,1.738,3.0,21082024,4.627
Deschampsia flexuosa,1.0,DSH,0.18,0.299,3.0,21082024,0.479
Vaccinium vitis-idaea,1.0,DSH,0.515,0.617,3.0,21082024,1.1320000000000001
Empetrum nigrum,1.0,DSH,0.828,0.267,3.0,21082024,1.095
Vaccinium vitis-idaea,3.0,DSH,,0.153,3.0,21082024,0.153
Vaccinium myrtillus,3.0,DSH,0.189,0.206,3.0,21082024,0.395
Avenella flexuosa,3.0,DSH,1.157,0.259,3.0,21082024,1.416
Salix herbacea,3.0,DSH,0.167,0.129,3.0,21082024,0.29600000000000004
Empetrum nigrum,3.0,DSH,7.342,1.825,3.0,21082024,9.167
Vaccinium vitis-idaea,3.0,DSH,0.074,,3.0,21082024,0.074
Juncus trifidus,3.0,DSH,0.091,0.106,3.0,21082024,0.197
Vaccinium vitis-idaea,2.0,DSH,0.314,0.571,3.0,21082024,0.885
Empetrum nigrum,2.0,DSH,10.701,1.769,3.0,21082024,12.47
Kalmina procumbens,2.0,DSH,0.04,,3.0,21082024,0.04
Salix herbacea,2.0,DSH,,0.01,3.0,21082024,0.01
Deschampsia flexuosa,2.0,DSH,1.048,0.85,3.0,21082024,1.8980000000000001
Vaccinium myrtillus,4.0,DSH,1.801,1.811,3.0,21082024,3.612
Empetrum nigrum,4.0,DSH,4.317,2.188,3.0,21082024,6.505000000000001
Vaccinium vitis-idaea,4.0,DSH,0.04,0.093,3.0,21082024,0.133
Phyllodoce caerulea,4.0,DSH,3.336,0.405,3.0,21082024,3.7409999999999997
Juncus trifidus,4.0,DSH,,0.033,3.0,21082024,0.033
Kalmina procumbens,4.0,DSH,,0.028,3.0,21082024,0.028
Deschampsia flexuosa,4.0,DSH,1.31,0.683,3.0,21082024,1.993
Salix herbacea,4.0,DSH,0.552,0.641,3.0,21082024,1.193
Empetrum nigrum,5.0,DSH,,5.624,3.0,21082024,5.624
Vaccinium vitis-idaea,5.0,DSH,0.105,,3.0,21082024,0.105
Empetrum nigrum,5.0,DSH,13.607,,3.0,21082024,13.607
Deschampsia flexuosa,5.0,DSH,0.185,0.076,3.0,21082024,0.261
Salix herbacea,5.0,DSH,1.658,1.584,3.0,21082024,3.242
Solidago virgaurea,5.0,TL,,0.02,3.0,21082024,0.02
Avenella flexuosa,5.0,TL,6.396,2.2172,3.0,21082024,8.613199999999999
Vaccinium uliginosum,5.0,TL,,1.545,3.0,21082024,1.545
Vaccinium myrtillus,5.0,TL,3.248,1.22,3.0,21082024,4.468
Hieracium sp,5.0,TL,,0.03,3.0,21082024,0.03
Deschampsia flexuosa,5.0,TL,2.26,1.63,3.0,21082024,3.8899999999999997
Betula nana,5.0,TL,0.354,0.031,3.0,21082024,0.385
Empetrum nigrum,1.0,TL,1.601,0.128,3.0,21082024,1.729
Deschampsia flexuosa,1.0,TL,1.837,1.053,3.0,21082024,2.8899999999999997
Vaccinium myrtillus,1.0,TL,1.798,0.845,3.0,21082024,2.643
Vaccinium myrtillus,2.0,TL,,,3.0,21082024,0.0
Vaccinium myrtillus,2.0,TL,0.203,0.6,3.0,21082024,0.8029999999999999
Empetrum nigrum,2.0,TL,0.335,0.087,3.0,21082024,0.42200000000000004
Deschampsia flexuosa,2.0,TL,,3.98,3.0,21082024,3.98
Betula nana,2.0,TL,33.86,0.983,3.0,21082024,34.842999999999996
Deschampsia flexuosa,2.0,TL,4.467,,3.0,21082024,4.467
Vaccinium vitis-idaea,3.0,TL,0.01,0.01,3.0,21082024,0.02
Vaccinium myrtillus,3.0,TL,2.069,0.84,3.0,21082024,2.909
Vaccinium myrtillus,4.0,TL,0.742,0.238,3.0,21082024,0.98
Vaccinium uliginosum,4.0,TL,1.614,0.328,3.0,21082024,1.9420000000000002
Deschampsia flexuosa,4.0,TL,3.655,1.874,3.0,21082024,5.529
Empetrum nigrum,4.0,TL,1.812,0.091,3.0,21082024,1.903
Empetrum nigrum,1.0,BF,17.809,3.195,3.0,21082024,21.004
Vaccinium vitis-idaea,1.0,BF,1.947,2.502,3.0,21082024,4.449
Deschampsia flexuosa,1.0,BF,0.743,0.148,3.0,21082024,0.891
Vaccinium myrtillus,2.0,BF,0.338,0.076,3.0,21082024,0.41400000000000003
Vaccinium vitis-idaea,2.0,BF,0.528,0.703,3.0,21082024,1.2309999999999999
Deschampsia flexuosa,2.0,BF,2.463,2.016,3.0,21082024,4.479
Empetrum nigrum,2.0,BF,5.881,0.63,3.0,21082024,6.511
Vaccinium vitis-idaea,5.0,BF,0.364,0.247,3.0,21082024,0.611
Empetrum nigrum,5.0,BF,0.919,0.304,3.0,21082024,1.223
Deschampsia flexuosa,5.0,BF,1.66,0.888,3.0,21082024,2.548
Vaccinium uliginosum,3.0,BF,,0.063,3.0,21082024,0.063
Empetrum nigrum,3.0,BF,1.585,0.494,3.0,21082024,2.0789999999999997
Deschampsia flexuosa,3.0,BF,2.746,1.258,3.0,21082024,4.004
Vaccinium vitis-idaea,3.0,BF,0.713,0.682,3.0,21082024,1.395
Betula nana,3.0,BF,0.509,0.101,3.0,21082024,0.61
Vaccinium uliginosum,3.0,BF,0.413,,3.0,21082024,0.413
Avenella flexuosa,4.0,BF,0.003,0.025,3.0,21082024,0.028
Betula nana,4.0,BF,10.541,0.583,3.0,21082024,11.124
Vaccinium vitis-idaea,4.0,BF,0.134,0.185,3.0,21082024,0.319
Vaccinium uliginosum,5.0,BF,,0.125,3.0,21082024,0.125
Solidago virgaurea,4.0,TL,,0.014,6.0,21082024,0.014
Pedicularis oederi,1.0,TL,,0.011,6.0,21082024,0.011
Pedicularis oederi,3.0,TL,,0.029,6.0,21082024,0.029
Avenella flexuosa,1.0,TL,6.516,6.457,6.0,21082024,12.972999999999999
Avenella flexuosa,2.0,TL,1.089,,6.0,21082024,1.089
Avenella flexuosa,3.0,TL,0.689,0.548,6.0,21082024,1.237
Avenella flexuosa,4.0,TL,,1.754,6.0,21082024,1.754
Molinia caerulea,1.0,TL,,0.302,6.0,21082024,0.302
Vaccinium uliginosum,1.0,TL,0.014,0.068,6.0,21082024,0.082
Vaccinium uliginosum,3.0,TL,0.259,0.072,6.0,21082024,0.331
Vaccinium uliginosum,4.0,TL,0.189,0.035,6.0,21082024,0.224
Vaccinium myrtillus,3.0,TL,5.742,4.113,6.0,21082024,9.855
Vaccinium myrtillus,4.0,TL,2.556,2.013,6.0,21082024,4.569
Vaccinium vitis-idaea,2.0,TL,,0.628,6.0,21082024,0.628
Vaccinium vitis-idaea,3.0,TL,0.028,0.09,6.0,21082024,0.118
Vaccinium vitis-idaea,4.0,TL,0.166,0.921,6.0,21082024,1.087
Phyllodoce caerulea,3.0,TL,1.069,0.274,6.0,21082024,1.343
Phyllodoce caerulea,4.0,TL,8.376,2.826,6.0,21082024,11.202
Betula nana,3.0,TL,,0.017,6.0,21082024,0.017
Betula nana,4.0,TL,5.744,1.133,6.0,21082024,6.877
Empetrum nigrum,3.0,TL,1.642,0.71,6.0,21082024,2.352
Empetrum nigrum,4.0,TL,7.207,3.439,6.0,21082024,10.646
Salix sp,4.0,TL,4.566,,6.0,21082024,4.566
Salix sp,5.0,TL,3.433,5.4,6.0,21082024,8.833
Phyllodoce caerulea,1.0,BF,0.068,0.042,6.0,21082024,0.11000000000000001
Trientalis europaea,1.0,BF,0.031,,6.0,21082024,0.031
Avenella flexuosa,1.0,BF,,0.818,6.0,21082024,0.818
Empetrum nigrum,1.0,BF,0.196,0.093,6.0,21082024,0.28900000000000003
Vaccinium uliginosum,1.0,BF,0.811,0.062,6.0,21082024,0.873
Vaccinium vitis-idaea,1.0,BF,0.065,0.104,6.0,21082024,0.16899999999999998
Vaccinium myrtillus,1.0,BF,0.591,0.286,6.0,21082024,0.877
Empetrum nigrum,2.0,BF,10.531,2.0523,6.0,21082024,12.583300000000001
Vaccinium myrtillus,2.0,BF,0.5869,0.6493,6.0,21082024,1.2362
Deschampsia flexuosa,2.0,BF,,2.3989,6.0,21082024,2.3989
Vaccinium vitis-idaea,2.0,BF,0.452,2.395,6.0,21082024,2.847
Vaccinium vitis-idaea,3.0,BF,0.8434,0.549,6.0,21082024,1.3924
Vaccinium myrtillus,3.0,BF,0.1699,0.3638,6.0,21082024,0.5337000000000001
Empetrum nigrum,3.0,BF,5.5394,0.7167,6.0,21082024,6.2561
Betula nana,3.0,BF,34.1326,5.0488,6.0,21082024,39.1814
Solidago virgaurea,1.0,BF,,0.043,6.0,21082024,0.043
Pyrola Grandiflora,1.0,BF,,0.018,6.0,21082024,0.018
Deschampsia flexuosa,3.0,BF,,0.1441,6.0,21082024,0.1441
Vaccinium vitis-idaea,5.0,BF,0.884,0.486,6.0,21082024,1.37
Betula nana,5.0,BF,0.395,0.009,6.0,21082024,0.404
Vaccinium uliginosum,5.0,BF,9.108,2.022,6.0,21082024,11.13
Empetrum nigrum,5.0,BF,0.123,0.023,6.0,21082024,0.146
Avenella flexuosa,5.0,BF,,0.703,6.0,21082024,0.703
Vaccinium myrtillus,5.0,BF,0.544,0.202,6.0,21082024,0.746
Betula nana,3.0,LH,6.22,1.84,6.0,21082024,8.06
Betula nana,4.0,LH,15.51,3.56,6.0,21082024,19.07
Pedicularis oederi,4.0,LH,,0.006,6.0,21082024,0.006
Phyllodoce caerulea,4.0,LH,3.46,1.108,6.0,21082024,4.568
Empetrum nigrum,4.0,LH,7.34,1.653,6.0,21082024,8.993
Avenella flexuosa,4.0,LH,1.668,1.472,6.0,21082024,3.1399999999999997
Vaccinium myrtillus,4.0,LH,0.815,0.66,6.0,21082024,1.475
Vaccinium uliginosum,4.0,LH,0.561,0.183,6.0,21082024,0.744
Vaccinium vitis-idaea,4.0,LH,0.846,0.273,6.0,21082024,1.119
Avenella flexuosa,1.0,DSH,,1.02,6.0,21082024,1.02
Avenella flexuosa,2.0,DSH,,0.599,6.0,21082024,0.599
Avenella flexuosa,3.0,DSH,,2.62,6.0,21082024,2.62
Avenella flexuosa,4.0,DSH,,0.317,6.0,21082024,0.317
Vaccinium myrtillus,1.0,DSH,3.394,1.859,6.0,21082024,5.253
Vaccinium myrtillus,2.0,DSH,3.155,1.801,6.0,21082024,4.9559999999999995
Vaccinium myrtillus,3.0,DSH,4.44,2.3,6.0,21082024,6.74
Vaccinium vitis-idaea,2.0,DSH,0.124,0.133,6.0,21082024,0.257
Vaccinium vitis-idaea,3.0,DSH,0.21,0.14,6.0,21082024,0.35
Vaccinium vitis-idaea,4.0,DSH,0.169,0.722,6.0,21082024,0.891
Vaccinium uliginosum,3.0,DSH,1.76,0.44,6.0,21082024,2.2
Phyllodoce caerulea,2.0,DSH,7.38,1.713,6.0,21082024,9.093
Phyllodoce caerulea,3.0,DSH,0.28,0.07,6.0,21082024,0.35000000000000003
Phyllodoce caerulea,4.0,DSH,0.34,0.041,6.0,21082024,0.381
Solidago virgaurea,3.0,DSH,,0.18,6.0,21082024,0.18
Empetrum nigrum,3.0,DSH,4.22,1.36,6.0,21082024,5.58
Empetrum nigrum,4.0,DSH,0.015,0.014,6.0,21082024,0.028999999999999998
Trientalis europaea,3.0,DSH,,0.022,6.0,21082024,0.022
Juniperus communis,3.0,DSH,41.73,6.42,6.0,21082024,48.15
Juniperus communis,4.0,DSH,0.1,0.044,6.0,21082024,0.14400000000000002
Pyrola grandiflora,3.0,DSH,,0.06,6.0,21082024,0.06
Salix lanata,3.0,DSH,,0.09,6.0,21082024,0.09
Campanula rotundifolia,2.0,DSH,,0.01,6.0,21082024,0.01
,,,,,,0,0.0
Lysimachia europaea,2.0,TL,,0.027,6.0,21082024,0.027
Solidago virgaurea,2.0,TL,,0.088,6.0,21082024,0.088
Bistorta vivipara,2.0,TL,,0.021,6.0,21082024,0.021
Betula nana,2.0,TL,46.49,0.029,6.0,21082024,46.519000000000005
Phleum Alpinum,2.0,TL,0.018,0.083,6.0,21082024,0.101
Pedicularis oederi,2.0,TL,,0.015,6.0,21082024,0.015
Phyllodoce caerulea,2.0,TL,0.288,0.09,6.0,21082024,0.378
Empetrum nigrum,2.0,TL,0.207,0.135,6.0,21082024,0.34199999999999997
Vaccinium myrtillus,2.0,TL,0.239,0.372,6.0,21082024,0.611
,,,,,,21082024,0.0
,,,,,,21082024,0.0
,,,,,,21082024,0.0
Avenella flexuosa,1.0,TL,0.381,,4.0,21082024,0.381
Vaccinium myrtillus,1.0,TL,5.004,3.027,4.0,21082024,8.030999999999999
Phyllodoce caerulea,1.0,TL,5.365,1.84,4.0,21082024,7.205
Empetrum nigrum,1.0,TL,10.284,1.678,4.0,21082024,11.962
Vaccinium vitis-idaea,1.0,TL,0.232,0.045,4.0,21082024,0.277
Phyllodoce caerulea,2.0,TL,0.153,0.074,4.0,21082024,0.22699999999999998
Pedicularis palustris,2.0,TL,,0.085,4.0,21082024,0.085
Deschampsia flexuosa,2.0,TL,4.493,,4.0,21082024,4.493
Vaccinium vitis-idaea,2.0,TL,0.581,0.46,4.0,21082024,1.041
Empetrum nigrum,2.0,TL,1.866,1.109,4.0,21082024,2.975
Vaccinium myrtillus,2.0,TL,1.074,1.52,4.0,21082024,2.5940000000000003
Solidago virgaurea,2.0,TL,0.138,,4.0,21082024,0.138
Vaccinium uliginosum,2.0,TL,0.424,0.598,4.0,21082024,1.022
Trientalis europaea,2.0,TL,0.005,,4.0,21082024,0.005
Avenella flexuosa,3.0,TL,2.125,,4.0,21082024,2.125
Hieracium sp,3.0,TL,0.006,,4.0,21082024,0.006
Pyrola grandiflora,3.0,TL,0.015,,4.0,21082024,0.015
Vaccinium vitis-idaea,3.0,TL,0.093,0.085,4.0,21082024,0.178
Salix herbacea,3.0,TL,0.231,0.269,4.0,21082024,0.5
Empetrum nigrum,3.0,TL,0.475,0.14,4.0,21082024,0.615
Betula nana,3.0,TL,,0.088,4.0,21082024,0.088
Solidago virgaurea,3.0,TL,,0.067,4.0,21082024,0.067
Vaccinium myrtillus,3.0,TL,2.551,1.739,4.0,21082024,4.29
Deschampsia flexuosa,4.0,TL,4.926,,4.0,21082024,4.926
Empetrum nigrum,4.0,TL,7.421,3.454,4.0,21082024,10.875
Vaccinium myrtillus,4.0,TL,1.869,2.42,4.0,21082024,4.289
Vaccinium vitis-idaea,4.0,TL,0.062,0.047,4.0,21082024,0.109
Deschampsia flexuosa,5.0,TL,2.791,1.802,4.0,21082024,4.593
Vaccinium myrtillus,5.0,TL,0.834,0.609,4.0,21082024,1.443
Vaccinium uliginosum,5.0,TL,1.048,0.544,4.0,21082024,1.592
Betula pubescens,1.0,BF,,,4.0,21082024,0.0
Vaccinium myrtillus,1.0,BF,2.6925,2.4303,4.0,21082024,5.1228
Vaccinium vitis-idaea,1.0,BF,,,4.0,21082024,0.0
Linnaea borealis,1.0,BF,0.3086,0.1056,4.0,21082024,0.4142
Deschampsia cespitosa,1.0,BF,,2.0774,4.0,21082024,2.0774
Vaccinium uliginosum,1.0,BF,4.2837,1.9948,4.0,21082024,6.278499999999999
Betula nana,1.0,BF,,,4.0,21082024,0.0
Empetrum nigrum,1.0,BF,2.03,0.3993,4.0,21082024,2.4292999999999996
Betula pubescens,3.0,BF,,,4.0,21082024,0.0
Vaccinium myrtillus,3.0,BF,3.01,4.1963,4.0,21082024,7.2063
Vaccinium vitis-idaea,3.0,BF,,,4.0,21082024,0.0
Deschampsia cespitosa,3.0,BF,,,4.0,21082024,0.0
Vaccinium uliginosum,3.0,BF,,,4.0,21082024,0.0
Betula nana,3.0,BF,,,4.0,21082024,0.0
Linnaea borealis,3.0,BF,0.2559,0.0817,4.0,21082024,0.3376
Vaccinium vitis-idaea,4.0,BF,0.057,0.0558,4.0,21082024,0.11280000000000001
Linnaea borealis,4.0,BF,0.0638,0.0135,4.0,21082024,0.0773
Solidago virgaurea,4.0,BF,,0.0967,4.0,21082024,0.0967
Hieracium sp,4.0,BF,,0.0049,4.0,21082024,0.0049
Deschampsia flexuosa,4.0,BF,,4.33,4.0,21082024,4.33
Lysimachia europaea,4.0,BF,,0.0151,4.0,21082024,0.0151
Vaccinium myrtillus,4.0,BF,1.4674,0.6442,4.0,21082024,2.1116
Betula pubescens,5.0,BF,,0.1299,4.0,21082024,0.1299
Vaccinium myrtillus,5.0,BF,,,4.0,21082024,0.0
Vaccinium vitis-idaea,5.0,BF,0.1849,,4.0,21082024,0.1849
Vaccinium vitis-idaea,5.0,BF,2.916,,4.0,21082024,2.916
Deschampsia cespitosa,5.0,BF,,1.0145,4.0,21082024,1.0145
Vaccinium uliginosum,5.0,BF,,,4.0,21082024,0.0
Solidago virgaurea,5.0,BF,,0.0191,4.0,21082024,0.0191
Geranium sylvaticum,5.0,BF,,0.1164,4.0,21082024,0.1164
Empetrum nigrum,5.0,BF,,0.0448,4.0,21082024,0.0448
Linnaea borealis,5.0,BF,0.0782,0.0331,4.0,21082024,0.11130000000000001
Betula nana,5.0,BF,,,4.0,21082024,0.0
Geranium sylvaticum,2.0,BF,,0.185,4.0,21082024,0.185
Pyrola grandiflora,2.0,BF,,0.281,4.0,21082024,0.281
Anthoxanthum nipponicum,2.0,BF,,0.034,4.0,21082024,0.034
Deschampsia flexuosa,2.0,BF,,3.976,4.0,21082024,3.976
Vaccinium vitis-idaea,1.0,DSH,,0.0309,4.0,21082024,0.0309
Vaccinium myrtillus,1.0,DSH,0.0062,0.0116,4.0,21082024,0.0178
Betula nana,1.0,DSH,14.56,5.2106,4.0,21082024,19.7706
Vaccinium myrtillus,3.0,DSH,0.7797,0.779,4.0,21082024,1.5587
Phyllodoce caerulea,3.0,DSH,,0.5285,4.0,21082024,0.5285
Carex bigelowii,3.0,DSH,,0.0164,4.0,21082024,0.0164
Vaccinium vitis-idaea,3.0,DSH,0.1456,1.945,4.0,21082024,2.0906000000000002
Vaccinium vitis-idaea,3.0,DSH,,1.066,4.0,21082024,1.066
